Model,Target,RÂ²,MAE,RMSE
Linear Regression,GIS_ACRES,0.03524007147384589,1.493235720862685,2.0776045005021166
Linear Regression,DURATION,0.17521926389471587,0.8111800068004816,1.1115135405023016
Ridge,GIS_ACRES,0.036493534777578995,1.501475125370382,2.076254399119217
Ridge,DURATION,0.1773135416154763,0.8102374016581415,1.1101014696837876
Lasso,GIS_ACRES,0.0362319151790228,1.493784484500896,2.0765362612520497
Lasso,DURATION,0.1786749129056353,0.8100916563153892,1.109182598359197
Decision Tree,GIS_ACRES,-1.2507965734561175,2.373256454851575,3.173374822390333
Decision Tree,DURATION,-0.7478241041288465,1.0460402498209256,1.6180590446729488
Random Forest,GIS_ACRES,-0.06486416559075647,1.6647343081907193,2.1827316977388977
Random Forest,DURATION,-0.012770868031483085,0.937665125953479,1.2316891153510794
Gradient Boosting,GIS_ACRES,-0.4496352790895912,1.92378527787093,2.546728356041332
Gradient Boosting,DURATION,-0.06638077527532515,0.9427651733480078,1.2638678216127481
HistGradientBoosting,GIS_ACRES,-0.04826798902758678,1.6293736109075367,2.1656556910155014
HistGradientBoosting,DURATION,0.25676401697564033,0.7992534128321184,1.0551370350905995
Support Vector Regressor,GIS_ACRES,0.040355466086449354,1.4865805480513319,2.0720891946804705
Support Vector Regressor,DURATION,0.12248772704894684,0.7410554899239473,1.1464948358084337
K-Nearest Neighbors,GIS_ACRES,-0.23996310273097565,1.8213023446409429,2.355361815645254
K-Nearest Neighbors,DURATION,0.13627645819589052,0.8352346907387698,1.1374514841750079
XGBoost,GIS_ACRES,-0.23776245170956178,1.7446485360245418,2.353270773087933
XGBoost,DURATION,0.008693364666952363,0.8750160642286273,1.2185672721330356
LightGBM,GIS_ACRES,-0.13655618443379614,1.724948731808864,2.2550112028730416
LightGBM,DURATION,0.3317821223012235,0.7740075379061118,1.0004711014615826
